FID,serial,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,id_zonamusculacion,nomzonamusculacion,ubicacion,foto,id_maquina,nommaquina,nivel,icono,funcion,desarrollo,precauciones,maquinafoto1,maquinafoto2,x,y
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f12,23078,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,18,Movilidad de dedos,1,http://geoportal.malaga.eu/img/deportes/im18.png,Mejorar la coordinación óculo-manual y la movilidad de nuestros dedos.,"Ayudándose de algún bolígrafo o similar, introduzca el extremo del mismo en los distintos agujeros de la tabla. Siempre interviene el dedo pulgar y se van cambiando el resto de los dedos.",Realizar movimientos lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_18_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_18_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f11,23079,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,2,Banco,1,http://geoportal.malaga.eu/img/deportes/im2.png,Mejorar la circulación de los miembros inferiores.,"Sentados en el banco, con la espalda apoyada en el respaldo, elevamos alternativamente las piernas. Podremos colocar la puntera del pie orientada hacia delante o mirando arriba para conseguir distintos objetivos.También se pueden elevar las dos piernas a la vez.",Se debe mantener la espalda apoyada en el banco.Los movimientos deben ser lentos y controlados,http://geoportal.malaga.eu/img/deportes/fm_2_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_2_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f10,23560,POINT (-4.4241570004963195 36.73766603485244),,,,,,,-1,-1,-1,0,,31,Av. Guerrero Strachan,Número 1,http://geoportal.malaga.eu/img/deportes/fz_31.jpg,10,Disco de muñecas,1,http://geoportal.malaga.eu/img/deportes/im10.png,"Aumentar, o mantener, la flexibilidad de las muñecas.","Sitúese frente al disco y, agarrándolo con una mano, gire la muñeca hacia la derecha y hacia la izquierda. Repita con la otra mano.",Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_10_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_10_2.jpg,372846.3593,4066716.8108
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f0f,23080,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,21,Poleas,1,http://geoportal.malaga.eu/img/deportes/im21.png,Mejorar la movilidad de codos y hombros.,"Agarre los asideros y baje un brazo, lo que le obligará a subir el otro. Manténgase en esta posición dos segundos y repita el ejercicio con el otro brazo.",Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_21_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_21_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f0e,23081,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,25,Serpiente,1,http://geoportal.malaga.eu/img/deportes/im25.png,"Mantener o aumentar la flexibilidad y movilidad de la muñeca, codo y hombro.","Sitúese frente al aparato y agarrando el asidero con una mano, desplace éste de un extremo a otro de la serpiente. Cambie de mano y repita el ejercicio.",Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_25_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_25_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f0d,23082,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,26,Silla con pedales,1,http://geoportal.malaga.eu/img/deportes/im26.png,Aumentar la capacidad cardiaca y pulmonar.Desarrollar la movilidad articular de la rodilla,"Siéntese cómodamente en el banco y coloque ambos pies sobre los pedales. Pedalee. Como variante, puede realizar el pedaleo hacia atrás.",Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_26_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_26_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f0c,23083,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,3,Barra a media altura,1,http://geoportal.malaga.eu/img/deportes/im3.png,Fortalecer los gemelos.,Coloque las manos sobre la barra y eleve los talones. Repita el ejercicio varias veces.,Agarrar firmemente la barra.,http://geoportal.malaga.eu/img/deportes/fm_3_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_3_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f0b,23084,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,4,Barra giro muñecas,1,http://geoportal.malaga.eu/img/deportes/im4.png,Fortalecer los músculos de antebrazos y manos.,"Colóquese frente al aparato con las manos cogidas a la barra. Comience el movimiento girando simultáneamente las muñecas arriba y abajo. Como variante, puede realizar un movimiento alternativo, mientras una muñeca sube, la otra baja..",Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_4_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_4_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f0a,23085,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,6,Barras paralelas,1,http://geoportal.malaga.eu/img/deportes/im6.png,Mejorar la postura.Mejorar la movilidad de las articulaciones de las piernas.Mejorar la flexibilidad general.,"De pie, cogidos a las barras, nos desplazamos de distintas formas: - Agachándonos cada 2 ó 3 pasos, - Elevando rodillas alternativamente.- Poniéndonos de puntillas.- Elevando una rodilla y soltando la mano contraria.",Vigilar el correcto apoyo de los pies.Evitar arquear excesivamente la espalda.,http://geoportal.malaga.eu/img/deportes/fm_6_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_6_2.jpg,362002.3199,4065809.9963
da_zonasMusculacion.fid--7b4b556b_15ed4cde20f_-4f09,23086,POINT (-4.545411000271775 36.72797903492813),,,,,,,-1,-1,-1,0,,123,Cl. Ignacio Sanchez Mejías,Número 1 (Junto Asociación de Jubilados La Unión),http://geoportal.malaga.eu/img/deportes/fz_123.jpg,7,Base inestable,1,http://geoportal.malaga.eu/img/deportes/im7.png,Mejorar el equilibrio y la coordinación.,"Súbase a la plataforma, agarrándose a la barra, y haga desplazar la base con su propio peso, a derecha e izquierda.","Tenga cuidado a la hora de acceder o abandonar el aparato, por posibles desequilibrios.",http://geoportal.malaga.eu/img/deportes/fm_7_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_7_2.jpg,362002.3199,4065809.9963
